,County,FIPS,County #,Public Health Region (11),Health Service Region (8),Metropolitan Statistical Area (MSA),Metropolitan Divisions (MD),Metro Area (82),NCHS Urban Rural Classification (2006),NCHS Urban Rural Classification (2013),Border 32 (La Paz Agreement),Border 15,State,Population,Estimate Total households,Margin of Error Total households
0,Anderson,48001.0,1.0,4.0,4/5N,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border,Texas,57735,16459,461
1,Andrews,48003.0,2.0,9.0,9/10,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border,Texas,18705,5508,212
2,Angelina,48005.0,3.0,5.0,4/5N,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border,Texas,86715,30783,467
3,Aransas,48007.0,4.0,11.0,11,Corpus Christi,--,Metro,Medium Metro,Medium Metro,Non-Border,Non-Border,Texas,23510,9432,563
4,Archer,48009.0,5.0,2.0,2/3,Wichita Falls,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border,Texas,8553,3332,122
5,Armstrong,48011.0,6.0,1.0,1,Amarillo,--,Metro,Small Metro,Medium Metro,Non-Border,Non-Border,Texas,1887,708,58
6,Atascosa,48013.0,7.0,8.0,8,San Antonio-New Braunfels,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border,Texas,51153,15387,351
7,Austin,48015.0,8.0,6.0,6/5S,Houston-The Woodlands-Sugar Land,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border,Texas,30032,11041,319
8,Bailey,48017.0,9.0,1.0,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border,Texas,7000,2111,192
9,Bandera,48019.0,10.0,8.0,8,San Antonio-New Braunfels,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border,Texas,23112,8242,317
10,Bastrop,48021.0,11.0,7.0,7,Austin-Round Rock,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border,Texas,88723,25345,626
11,Baylor,48023.0,12.0,2.0,2/3,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border,Texas,3509,1474,121
12,Bee,48025.0,13.0,11.0,11,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border,Texas,32565,8537,340
13,Bell,48027.0,14.0,7.0,7,Killeen-Temple,--,Metro,Medium Metro,Medium Metro,Non-Border,Non-Border,Texas,362924,120241,1216
14,Bexar,48029.0,15.0,8.0,8,San Antonio-New Braunfels,--,Metro,Large Central Metro,Large Central Metro,Non-Border,Non-Border,Texas,2003554,632574,2183
15,Blanco,48031.0,16.0,7.0,7,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border,Texas,11931,4297,206
16,Borden,48033.0,17.0,9.0,9/10,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border,Texas,654,261,47
17,Bosque,48035.0,18.0,7.0,7,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border,Texas,18685,7088,232
18,Bowie,48037.0,19.0,4.0,4/5N,Texarkana,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border,Texas,93245,33731,556
19,Brazoria,48039.0,20.0,6.0,6/5S,Houston-The Woodlands-Sugar Land,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border,Texas,374264,118762,1001
20,Brazos,48041.0,21.0,7.0,7,College Station-Bryan,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border,Texas,229211,79053,871
21,Brewster,48043.0,22.0,10.0,9/10,--,--,Non-Metro,Noncore,Non-core,Border,Border,Texas,9203,3942,234
