id,Geographic Area Name,Estimate Total households,Margin of Error Total households,County FIPS,County Name
0500000US48001,"Anderson County, Texas",16459,461,48001,Anderson
0500000US48003,"Andrews County, Texas",5508,212,48003,Andrews
0500000US48005,"Angelina County, Texas",30783,467,48005,Angelina
0500000US48007,"Aransas County, Texas",9432,563,48007,Aransas
0500000US48009,"Archer County, Texas",3332,122,48009,Archer
0500000US48011,"Armstrong County, Texas",708,58,48011,Armstrong
0500000US48013,"Atascosa County, Texas",15387,351,48013,Atascosa
0500000US48015,"Austin County, Texas",11041,319,48015,Austin
0500000US48017,"Bailey County, Texas",2111,192,48017,Bailey
0500000US48019,"Bandera County, Texas",8242,317,48019,Bandera
0500000US48021,"Bastrop County, Texas",25345,626,48021,Bastrop
0500000US48023,"Baylor County, Texas",1474,121,48023,Baylor
0500000US48025,"Bee County, Texas",8537,340,48025,Bee
0500000US48027,"Bell County, Texas",120241,1216,48027,Bell
0500000US48029,"Bexar County, Texas",632574,2183,48029,Bexar
0500000US48031,"Blanco County, Texas",4297,206,48031,Blanco
0500000US48033,"Borden County, Texas",261,47,48033,Borden
0500000US48035,"Bosque County, Texas",7088,232,48035,Bosque
0500000US48037,"Bowie County, Texas",33731,556,48037,Bowie
0500000US48039,"Brazoria County, Texas",118762,1001,48039,Brazoria
0500000US48041,"Brazos County, Texas",79053,871,48041,Brazos
0500000US48043,"Brewster County, Texas",3942,234,48043,Brewster
0500000US48045,"Briscoe County, Texas",632,60,48045,Briscoe
0500000US48047,"Brooks County, Texas",2052,180,48047,Brooks
0500000US48049,"Brown County, Texas",14016,324,48049,Brown
0500000US48051,"Burleson County, Texas",6754,257,48051,Burleson
0500000US48053,"Burnet County, Texas",16849,602,48053,Burnet
0500000US48055,"Caldwell County, Texas",13225,365,48055,Caldwell
0500000US48057,"Calhoun County, Texas",7604,363,48057,Calhoun
0500000US48059,"Callahan County, Texas",5319,218,48059,Callahan
0500000US48061,"Cameron County, Texas",123185,912,48061,Cameron
