,County Name,FIPS #,County #,Public Health Region (11),Health Service Region (8),Metropolitan Statistical Area (MSA),Metropolitan Divisions (MD),Metro Area (82),NCHS Urban Rural Classification (2006),NCHS Urban Rural Classification (2013),Border 32 (La Paz Agreement),Border 15
0,Anderson,48001.0,1.0,4.0,4/5N,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
1,Andrews,48003.0,2.0,9.0,9/10,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
2,Angelina,48005.0,3.0,5.0,4/5N,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
3,Aransas,48007.0,4.0,11.0,11,Corpus Christi,--,Metro,Medium Metro,Medium Metro,Non-Border,Non-Border
4,Archer,48009.0,5.0,2.0,2/3,Wichita Falls,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border
5,Armstrong,48011.0,6.0,1.0,1,Amarillo,--,Metro,Small Metro,Medium Metro,Non-Border,Non-Border
6,Atascosa,48013.0,7.0,8.0,8,San Antonio-New Braunfels,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
7,Austin,48015.0,8.0,6.0,6/5S,Houston-The Woodlands-Sugar Land,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
8,Bailey,48017.0,9.0,1.0,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
9,Bandera,48019.0,10.0,8.0,8,San Antonio-New Braunfels,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
10,Bastrop,48021.0,11.0,7.0,7,Austin-Round Rock,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
11,Baylor,48023.0,12.0,2.0,2/3,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
12,Bee,48025.0,13.0,11.0,11,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
13,Bell,48027.0,14.0,7.0,7,Killeen-Temple,--,Metro,Medium Metro,Medium Metro,Non-Border,Non-Border
14,Bexar,48029.0,15.0,8.0,8,San Antonio-New Braunfels,--,Metro,Large Central Metro,Large Central Metro,Non-Border,Non-Border
15,Blanco,48031.0,16.0,7.0,7,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
16,Borden,48033.0,17.0,9.0,9/10,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
17,Bosque,48035.0,18.0,7.0,7,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
18,Bowie,48037.0,19.0,4.0,4/5N,Texarkana,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border
19,Brazoria,48039.0,20.0,6.0,6/5S,Houston-The Woodlands-Sugar Land,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
20,Brazos,48041.0,21.0,7.0,7,College Station-Bryan,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border
21,Brewster,48043.0,22.0,10.0,9/10,--,--,Non-Metro,Noncore,Non-core,Border,Border
